Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
maven,org.apache.maven.api.services,ArtifactFactoryRequest,build,3,1,7,64,0,org.apache.maven.api.services.ArtifactFactoryRequest,org.apache.maven.api.services.ArtifactFactoryRequest
maven,org.apache.maven.api.services,ArtifactFactoryRequest,builder,3,1,0,83,0,,
maven,org.apache.maven.api.services,ArtifactInstaller,install,0,1,1,37,0,,
maven,org.apache.maven.api.services,ArtifactInstaller,install,3,1,2,44,0,org.apache.maven.api.services.ArtifactInstaller,org.apache.maven.api.services.ArtifactInstaller
maven,org.apache.maven.api.services,ArtifactInstaller,install,3,1,2,56,0,org.apache.maven.api.services.ArtifactInstaller,org.apache.maven.api.services.ArtifactInstaller
maven,org.apache.maven.api.services,ArtifactInstallerException,ArtifactInstallerException,3,1,2,34,0,,
maven,org.apache.maven.api.services,ArtifactInstallerRequest,getSession,0,1,0,43,0,,
maven,org.apache.maven.api.services,ArtifactInstallerRequest,getArtifacts,0,1,0,46,0,,
maven,org.apache.maven.api.services,ArtifactInstallerRequest,builder,3,1,0,49,0,,
maven,org.apache.maven.api.services,ArtifactInstallerRequest,build,3,1,2,54,0,org.apache.maven.api.services.ArtifactInstallerRequest,org.apache.maven.api.services.ArtifactInstallerRequest
maven,org.apache.maven.api.services,ArtifactManager,getPath,0,1,1,36,0,,
maven,org.apache.maven.api.services,ArtifactManager,setPath,0,1,2,43,0,,
maven,org.apache.maven.api.services,ArtifactResolver,resolve,0,1,1,36,0,,
maven,org.apache.maven.api.services,ArtifactResolver,resolve,3,1,2,45,0,org.apache.maven.api.services.ArtifactResolver,org.apache.maven.api.services.ArtifactResolver
maven,org.apache.maven.api.services,ArtifactResolverException,ArtifactResolverException,3,1,2,33,0,,
maven,org.apache.maven.api.services,ArtifactResolverRequest,getSession,0,1,0,40,0,,
maven,org.apache.maven.api.services,ArtifactResolverRequest,getCoordinates,0,1,0,43,0,,
maven,org.apache.maven.api.services,ArtifactResolverRequest,builder,3,1,0,46,0,,
maven,org.apache.maven.api.services,ArtifactResolverRequest,build,3,1,2,51,0,org.apache.maven.api.services.ArtifactResolverRequest,org.apache.maven.api.services.ArtifactResolverRequest
maven,org.apache.maven.api.services,ArtifactResolverResult,getArtifacts,0,1,0,35,0,,
maven,org.apache.maven.api.services,BaseRequest,BaseRequest,3,1,1,39,0,,
maven,org.apache.maven.api.services,BaseRequest,getSession,3,1,0,43,0,,
maven,org.apache.maven.api.services,BaseRequest,nonNull,6,2,2,48,0,,
maven,org.apache.maven.api.services,BaseRequest,unmodifiable,3,1,1,55,0,,
maven,org.apache.maven.api.services,BuilderProblem,getSource,0,1,0,36,0,,
maven,org.apache.maven.api.services,BuilderProblem,getLineNumber,0,1,0,47,0,,
maven,org.apache.maven.api.services,BuilderProblem,getColumnNumber,0,1,0,55,0,,
maven,org.apache.maven.api.services,BuilderProblem,getLocation,0,1,0,63,0,,
maven,org.apache.maven.api.services,BuilderProblem,getException,0,1,0,73,0,,
maven,org.apache.maven.api.services,BuilderProblem,getMessage,0,1,0,81,0,,
maven,org.apache.maven.api.services,BuilderProblem,getSeverity,0,1,0,89,0,,
maven,org.apache.maven.api.services,DependencyCollector,collect,0,1,1,40,0,,
maven,org.apache.maven.api.services,DependencyCollector,collect,3,1,2,57,0,org.apache.maven.api.services.DependencyCollector,org.apache.maven.api.services.DependencyCollector
maven,org.apache.maven.api.services,DependencyCollector,collect,3,1,2,74,0,org.apache.maven.api.services.DependencyCollector,org.apache.maven.api.services.DependencyCollector
maven,org.apache.maven.api.services,DependencyCollector,collect,3,1,2,91,0,org.apache.maven.api.services.DependencyCollector,org.apache.maven.api.services.DependencyCollector
maven,org.apache.maven.api.services,DependencyCollectorException,DependencyCollectorException,3,1,2,36,0,,
maven,org.apache.maven.api.services,DependencyCollectorRequest,getSession,0,1,0,53,0,,
maven,org.apache.maven.api.services,DependencyCollectorRequest,getRootArtifact,0,1,0,56,0,,
maven,org.apache.maven.api.services,DependencyCollectorRequest,getRoot,0,1,0,59,0,,
maven,org.apache.maven.api.services,DependencyCollectorRequest,getDependencies,0,1,0,62,0,,
maven,org.apache.maven.api.services,DependencyCollectorRequest,getManagedDependencies,0,1,0,65,0,,
maven,org.apache.maven.api.services,DependencyCollectorRequest,getVerbose,0,1,0,68,0,,
maven,org.apache.maven.api.services,DependencyCollectorRequest,build,3,1,2,70,0,org.apache.maven.api.services.DependencyCollectorRequest,org.apache.maven.api.services.DependencyCollectorRequest
maven,org.apache.maven.api.services,DependencyCollectorRequest,build,3,1,2,78,0,org.apache.maven.api.services.DependencyCollectorRequest,org.apache.maven.api.services.DependencyCollectorRequest
maven,org.apache.maven.api.services,DependencyCollectorRequest,build,3,1,2,86,0,org.apache.maven.api.services.DependencyCollectorRequest,org.apache.maven.api.services.DependencyCollectorRequest
maven,org.apache.maven.api.services,DependencyCollectorRequest,builder,3,1,0,96,0,,
maven,org.apache.maven.api.services,DependencyCollectorResult,getExceptions,0,1,0,34,0,,
maven,org.apache.maven.api.services,DependencyCollectorResult,getRoot,0,1,0,41,0,,
maven,org.apache.maven.api.services,DependencyCoordinateFactory,create,0,1,1,38,0,,
