Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
maven,org.apache.maven.api.services,SettingsBuilderRequest,build,Long Statement,The length of the statement "return builder().session(nonNull(session`"session cannot be null")).globalSettingsPath(nonNull(globalSettingsPath`"globalSettingsPath cannot be null")).projectSettingsPath(nonNull(projectSettingsPath`"projectSettingsPath cannot be null")).userSettingsPath(nonNull(userSettingsPath`"userSettingsPath cannot be null")).build();" is 325.,117
maven,org.apache.maven.api.services,ToolchainsBuilderRequest,build,Long Statement,The length of the statement "return builder().session(nonNull(session`"session cannot be null")).globalToolchainsSource(nonNull(globalToolchainsSource`"globalToolchainsSource cannot be null")).userToolchainsSource(nonNull(userToolchainsSource`"userToolchainsSource cannot be null")).build();" is 262.,67
maven,org.apache.maven.api.services,ToolchainsBuilderRequest,build,Long Statement,The length of the statement "return builder().session(nonNull(session`"session cannot be null")).globalToolchainsPath(nonNull(globalToolchainsPath`"globalToolchainsPath cannot be null")).userToolchainsPath(nonNull(userToolchainsPath`"userToolchainsPath cannot be null")).build();" is 250.,77
maven,org.apache.maven.api.model,InputSource,equals,Long Statement,The length of the statement "return Objects.equals(modelId`that.modelId) && Objects.equals(location`that.location) && Objects.equals(inputs`that.inputs);" is 124.,67
maven,org.apache.maven.artifact,ArtifactUtils,isSnapshot,Long Statement,The length of the statement "if (version.regionMatches(true`version.length() - Artifact.SNAPSHOT_VERSION.length()`Artifact.SNAPSHOT_VERSION`0`Artifact.SNAPSHOT_VERSION.length())) {" is 151.,35
maven,org.apache.maven.artifact,ArtifactUtils,copyArtifact,Long Statement,The length of the statement "DefaultArtifact clone=new DefaultArtifact(artifact.getGroupId()`artifact.getArtifactId()`range`artifact.getScope()`artifact.getType()`artifact.getClassifier()`artifact.getArtifactHandler()`artifact.isOptional());" is 212.,118
maven,org.apache.maven.artifact,DefaultArtifact,DefaultArtifact,Long Parameter List,The method has 7 parameters. ,74
maven,org.apache.maven.artifact,DefaultArtifact,DefaultArtifact,Long Parameter List,The method has 7 parameters. ,93
maven,org.apache.maven.artifact,DefaultArtifact,DefaultArtifact,Long Parameter List,The method has 8 parameters. ,104
maven,org.apache.maven.artifact,DefaultArtifact,getDependencyConflictId,Magic Number,The method contains a magic number: 128,222
maven,org.apache.maven.artifact,DefaultArtifact,equals,Long Statement,The length of the statement "return Objects.equals(groupId`that.groupId) && Objects.equals(artifactId`that.artifactId) && Objects.equals(type`that.type)&& Objects.equals(classifier`that.classifier)&& Objects.equals(version`that.version);" is 208.,285
maven,org.apache.maven.artifact,DefaultArtifact,compareTo,Complex Method,Cyclomatic complexity of the method is 8,330
maven,org.apache.maven.artifact,DefaultArtifact,isSnapshot,Long Statement,The length of the statement "return getBaseVersion() != null && (getBaseVersion().endsWith(SNAPSHOT_VERSION) || getBaseVersion().equals(LATEST_VERSION));" is 124.,427
maven,org.apache.maven.artifact,InvalidArtifactRTException,InvalidArtifactRTException,Long Parameter List,The method has 5 parameters. ,33
maven,org.apache.maven.artifact,InvalidArtifactRTException,InvalidArtifactRTException,Long Parameter List,The method has 6 parameters. ,41
maven,org.apache.maven.artifact,DefaultArtifactTest,testComparisonByVersion,Long Statement,The length of the statement "Artifact artifact1=new DefaultArtifact(groupId`artifactId`VersionRange.createFromVersion("5.0")`scope`type`classifier`artifactHandler);" is 135.,120
maven,org.apache.maven.artifact,DefaultArtifactTest,testComparisonByVersion,Long Statement,The length of the statement "Artifact artifact2=new DefaultArtifact(groupId`artifactId`VersionRange.createFromVersion("12.0")`scope`type`classifier`artifactHandler);" is 136.,120
maven,org.apache.maven.artifact,DefaultArtifactTest,testComparisonByVersion,Long Statement,The length of the statement "Artifact artifact=new DefaultArtifact(groupId`artifactId`VersionRange.createFromVersion("5.0")`scope`type`classifier`artifactHandler);" is 134.,120
maven,org.apache.maven.artifact,AbstractArtifactComponentTestCase,setUp,Long Statement,The length of the statement "MavenSession session=new MavenSession(getContainer()`repoSession`new DefaultMavenExecutionRequest()`new DefaultMavenExecutionResult());" is 135.,102
maven,org.apache.maven.artifact,AbstractArtifactComponentTestCase,setUp,Long Statement,The length of the statement "new DefaultSessionFactory(getContainer().lookup(RepositorySystem.class)`getContainer().lookup(MavenRepositorySystem.class)`getContainer()`getContainer().lookup(RuntimeInformation.class)).getSession(session);" is 207.,102
maven,org.apache.maven.artifact,AbstractArtifactComponentTestCase,remoteRepository,Long Statement,The length of the statement "return artifactRepositoryFactory.createArtifactRepository("test"`"file://" + f.getPath()`repoLayout`new ArtifactRepositoryPolicy()`new ArtifactRepositoryPolicy());" is 163.,148
maven,org.apache.maven.artifact,AbstractArtifactComponentTestCase,initRepoSession,Long Statement,The length of the statement "DependencySelector depFilter=new AndDependencySelector(new ScopeDependencySelector("test"`"provided")`new OptionalDependencySelector()`new ExclusionDependencySelector());" is 170.,300
maven,org.apache.maven.artifact,AbstractArtifactComponentTestCase,initRepoSession,Long Statement,The length of the statement "DependencyGraphTransformer transformer=new ConflictResolver(new NearestVersionSelector()`new JavaScopeSelector()`new SimpleOptionalitySelector()`new JavaScopeDeriver());" is 169.,300
maven,org.apache.maven.artifact,AbstractArtifactComponentTestCase,printHexBinary,Magic Number,The method contains a magic number: 2,328
maven,org.apache.maven.artifact,AbstractArtifactComponentTestCase,printHexBinary,Magic Number,The method contains a magic number: 4,328
maven,org.apache.maven.artifact,AbstractArtifactComponentTestCase,printHexBinary,Magic Number,The method contains a magic number: 0xF,328
maven,org.apache.maven.artifact,AbstractArtifactComponentTestCase,printHexBinary,Magic Number,The method contains a magic number: 0xF,328
maven,org.apache.maven.artifact.handler,DefaultArtifactHandler,DefaultArtifactHandler,Long Parameter List,The method has 8 parameters. ,57
maven,org.apache.maven.artifact.handler,ArtifactHandlerTest,testAptConsistency,Long Statement,The length of the statement "String[] expected=new String[]{""`"type"`"classifier"`"extension"`"packaging"`"language"`"added to classpath"`"includesDependencies"`""};" is 137.,39
maven,org.apache.maven.artifact.handler,ArtifactHandlerTest,testAptConsistency,Magic Number,The method contains a magic number: 2,39
maven,org.apache.maven.artifact.handler,ArtifactHandlerTest,testAptConsistency,Magic Number,The method contains a magic number: 3,39
maven,org.apache.maven.artifact.handler,ArtifactHandlerTest,testAptConsistency,Magic Number,The method contains a magic number: 4,39
maven,org.apache.maven.artifact.handler,ArtifactHandlerTest,testAptConsistency,Magic Number,The method contains a magic number: 5,39
maven,org.apache.maven.artifact.handler,ArtifactHandlerTest,testAptConsistency,Magic Number,The method contains a magic number: 6,39
maven,org.apache.maven.artifact.handler,ArtifactHandlerTest,testAptConsistency,Magic Number,The method contains a magic number: 7,39
maven,org.apache.maven.artifact.metadata,ResolutionGroup,ResolutionGroup,Long Parameter List,The method has 5 parameters. ,39
maven,org.apache.maven.artifact.repository,ArtifactRepositoryPolicy,toString,Magic Number,The method contains a magic number: 64,133
maven,org.apache.maven.artifact.repository,ArtifactRepositoryPolicy,ordinalOfCksumPolicy,Magic Number,The method contains a magic number: 2,160
maven,org.apache.maven.artifact.repository,ArtifactRepositoryPolicy,ordinalOfUpdatePolicy,Magic Number,The method contains a magic number: 1440,170
maven,org.apache.maven.artifact.repository,ArtifactRepositoryFactory,createArtifactRepository,Long Parameter List,The method has 5 parameters. ,44
maven,org.apache.maven.artifact.repository,ArtifactRepositoryFactory,createArtifactRepository,Long Parameter List,The method has 5 parameters. ,52
